"Query#","original","noisy-translation-pt","IDCG@10"
23849,0.2890648263178879,0.38685280723454163,31.804915366618413
42255,14.916508275000202,14.916508275000202,18.7710512655814
47210,17.951615323586772,0.0,28.182676571548022
67316,7.0,7.0,26.849343238214693
118440,4.4165082750002025,4.4165082750002025,31.804915366618413
121171,5.056649103653414,5.056649103653414,13.630678014265035
135802,12.763483535311375,0.0,13.05254836162926
141630,6.472085511897927,6.472085511897927,20.154397028550864
156498,4.901788907020145,12.646836546902579,15.81955861672984
169208,6.4525880959238044,10.747443207680833,23.87710326084444
174463,7.4165082750002025,7.4165082750002025,17.630678014265033
258062,9.023453784225214,9.023453784225214,31.804915366618413
324585,7.0,7.0,31.804915366618413
330975,5.94603840567996,5.94603840567996,31.804915366618413
332593,11.219453000293806,11.219453000293806,26.849343238214693
336901,3.0147359065137516,3.0147359065137516,14.9165082750002
390360,7.31691612854392,7.31691612854392,26.849343238214693
405163,15.246708288661925,15.246708288661925,31.804915366618413
555530,0.38685280723454163,0.38685280723454163,13.630678014265035
583468,24.143953229684456,24.143953229684456,31.804915366618413
640502,12.201419960397946,12.201419960397946,31.804915366618413
673670,4.892789260714372,0.0,29.444536078690945
701453,19.768541251244848,0.0,23.87710326084444
730539,12.629296253917303,0.0,17.630678014265033
768208,12.406075075354144,12.406075075354144,22.065983863309242
877809,17.95631607813879,17.95631607813879,31.804915366618413
911232,5.749755712591931,3.5,13.666771961378048
914916,12.093130290294111,9.133662816382717,31.804915366618413
938400,0.0,4.3811209150694745,31.804915366618413
940547,4.945859079330485,8.845377356638178,13.630678014265035
997622,9.478732993720168,9.478732993720168,31.804915366618413
1030303,19.085608462512933,3.5,20.16042416454164
1037496,13.9137922056359,13.9137922056359,31.804915366618413
1043135,15.407525167228124,0.0,29.444536078690945
1051399,0.0,0.0,22.154397028550857
1064670,6.939725036603284,5.9178134987528725,9.666771961378048
1071750,6.847469127403145,6.847469127403145,18.974207384587125
1105792,8.500950096341658,8.500950096341658,11.81955861672984
1106979,14.576267375915092,14.139380836869615,20.154397028550864
1108651,7.0,7.0,31.804915366618413
1109707,23.126637005921122,6.398982726280991,31.804915366618413
1110678,2.939927524959156,2.939927524959156,9.666771961378048
1113256,27.475333568234845,10.213276073260879,28.182676571548022
1115210,2.9484591188793923,0.0,12.80541884523126
1116380,0.6309297535714575,0.0,17.676610964349
1121353,3.987325661726807,3.987325661726807,8.805418845231257
1122767,15.547344732166339,15.309951537506011,31.804915366618413
1127540,23.74749457129309,23.74749457129309,26.849343238214693
1131069,7.0,2.1072099696478683,14.9165082750002
1132532,5.753875494704994,5.753875494704994,31.804915366618413
1133579,7.996671719285523,10.044865825459333,22.154397028550857
1136043,11.463844342884503,11.463844342884503,26.849343238214693
1136047,7.903089986991944,7.903089986991944,17.676610964349
1136962,24.040494025348586,24.040494025348586,31.804915366618413
