"Query#","original","noisy-translation-pt","IDCG@10","Text"
23849,0.009088684028421674,0.012163302520231572,1.0,"are naturalization records public information"
42255,0.7946549217704771,0.7946549217704771,1.0,"average salary for dental hygienist in nebraska"
47210,0.6369734002380003,0.0,1.0,"average wedding dress alteration cost"
67316,0.26071401217877443,0.26071401217877443,1.0,"can fever cause miscarriage early pregnancy"
118440,0.13886244387355456,0.13886244387355456,1.0,"define bmt medical"
121171,0.370975610924228,0.370975610924228,1.0,"define etruscans"
135802,0.9778537632415405,0.0,1.0,"definition of laudable"
141630,0.32112523647963886,0.32112523647963886,1.0,"describe how muscles and bones work together to produce movement"
156498,0.3098562371921237,0.799443072547424,1.0,"do google docs auto save"
169208,0.2702416631294328,0.4501150365800587,1.0,"does mississippi have an income tax"
174463,0.4206592774820959,0.4206592774820959,1.0,"dog day afternoon meaning"
258062,0.2837125544970319,0.2837125544970319,1.0,"how long does it take to remove wisdom tooth"
324585,0.22009176629808022,0.22009176629808022,1.0,"how much money do motivational speakers make"
330975,0.1869534421689033,0.1869534421689033,1.0,"how much would it cost to install my own wind turbine"
332593,0.41786694373682665,0.41786694373682665,1.0,"how often to button quail lay eggs"
336901,0.20210734650054762,0.20210734650054762,1.0,"how old is vanessa redgrave"
390360,0.2725175086640387,0.2725175086640387,1.0,"ia suffix meaning"
405163,0.4793821367833118,0.4793821367833118,1.0,"is caffeine an narcotic"
555530,0.02838103921387367,0.02838103921387367,1.0,"what are best foods to lower cholesterol"
583468,0.7591264731056415,0.7591264731056415,1.0,"what carvedilol used for"
640502,0.3836331529183765,0.3836331529183765,1.0,"what does it mean if your tsh is low"
673670,0.16616968416952888,0.0,1.0,"what is a alm"
701453,0.8279287916664022,0.0,1.0,"what is a statutory deed"
730539,0.7163250468132254,0.0,1.0,"what is chronometer who invented it"
768208,0.5622262370989336,0.5622262370989336,1.0,"what is mamey"
877809,0.5645767602634547,0.5645767602634547,1.0,"what metal are hip replacements made of"
911232,0.42071059126768157,0.2560955878894381,1.0,"what type of conflict does della face in o, henry the gift of the magi"
914916,0.3802283436662352,0.28717771171839573,1.0,"what type of tissue are bronchioles"
938400,0.0,0.13774980579472887,1.0,"when did family feud come out?"
940547,0.3628476202104144,0.6489315753318468,1.0,"when did rock n roll begin?"
997622,0.29802729812225165,0.29802729812225165,1.0,"where is the show shameless filmed"
1030303,0.9466868507697817,0.17360745842618905,1.0,"who is aziz hashim"
1037496,0.43747301463469523,0.43747301463469523,1.0,"who is rep scalise?"
1043135,0.5232728111610009,0.0,1.0,"who killed nicholas ii of russia"
1051399,0.0,0.0,1.0,"who sings monk theme song"
1064670,0.7178947702842047,0.6121809351039308,1.0,"why do hunters pattern their shotguns?"
1071750,0.3608830128506654,0.3608830128506654,1.0,"why is pete rose banned from hall of fame"
1105792,0.7192273732040297,0.7192273732040297,1.0,"define: geon"
1106979,0.7232301395703502,0.7015531557128534,1.0,"define pareto chart in statistics"
1108651,0.22009176629808022,0.22009176629808022,1.0,"what the best way to get clothes white"
1109707,0.7271403410239607,0.201194772962584,1.0,"what medium do radio waves travel through"
1110678,0.3041271208946626,0.3041271208946626,1.0,"what is the un fao"
1113256,0.9749014966155741,0.3623955321394757,1.0,"what is reba mcentire's net worth"
1115210,0.23025089257251424,0.0,1.0,"what is chaff and flare"
1116380,0.03569291392133626,0.0,1.0,"what is a nonconformity? earth science"
1121353,0.4528263483895737,0.4528263483895737,1.0,"what can you do about discrimination in the workplace in oklahoma city"
1122767,0.4888346519068061,0.4813706108325296,1.0,"what amino produces carnitine"
1127540,0.8844720841250694,0.8844720841250694,1.0,"meaning of shebang"
1131069,0.46927872602275655,0.14126697285982903,1.0,"how many sons robert kraft has"
1132532,0.18091151724126603,0.18091151724126603,1.0,"average annual income data analyst"
1133579,0.3609519008339535,0.4534028081429747,1.0,"how does granulation tissue start"
1136043,0.42696926480376635,0.42696926480376635,1.0,"difference between a hotel and motel"
1136047,0.4470930543717491,0.4470930543717491,1.0,"difference between a company's strategy and business model is"
1136962,0.7558735418167736,0.7558735418167736,1.0,"why did the ancient egyptians call their land kemet, or black land?"
