"Query#","BM25_nDCG@10","Rerank_nDCG@10","Dense_nDCG@10","Text"
23849,0.009088684028421673,0.5247570718868744,0.7209795539661995,"are naturalization records public information"
42255,0.794654921770477,0.909684395752736,0.7199775715968755,"average salary for dental hygienist in nebraska"
47210,0.6369734002380002,0.9499670029785341,0.8208114684630632,"average wedding dress alteration cost"
67316,0.26071401217877443,0.6469095432547695,0.029388608105497763,"can fever cause miscarriage early pregnancy"
118440,0.1388624438735545,0.2784805894273036,0.15458328432341742,"define bmt medical"
121171,0.3709756109242279,0.4514282377581149,0.6066339432310229,"define etruscans"
135802,0.9778537632415402,0.7546712320808214,0.6439359458885995,"definition of laudable"
141630,0.3211252364796388,0.6184860566391046,0.2553100111170276,"describe how muscles and bones work together to produce movement"
156498,0.3098562371921236,0.7203783551387114,0.052677407348903436,"do google docs auto save"
169208,0.2702416631294328,0.4111460345366477,0.305617099481008,"does mississippi have an income tax"
174463,0.4206592774820958,0.5511233551711947,0.6352318518549335,"dog day afternoon meaning"
258062,0.2837125544970319,0.6571027999592406,0.1257667023714285,"how long does it take to remove wisdom tooth"
324585,0.2200917662980802,0.7222954974312066,0.92663607790064,"how much money do motivational speakers make"
330975,0.18695344216890325,0.6867799091233957,0.3928733677867947,"how much would it cost to install my own wind turbine"
332593,0.41786694373682665,0.6749923520579925,0.2912645705608399,"how often to button quail lay eggs"
336901,0.2021073465005476,0.6713860725233042,0.4692787260227566,"how old is vanessa redgrave"
390360,0.2725175086640386,0.6144382440830987,0.4735035286447765,"ia suffix meaning"
405163,0.4793821367833117,0.06625422345438903,0.0,"is caffeine an narcotic"
555530,0.028381039213873662,0.3708075198898453,0.4117383973714472,"what are best foods to lower cholesterol"
583468,0.7591264731056414,0.9187528305403849,0.7374258308659141,"what carvedilol used for"
640502,0.3836331529183765,1.0,0.6754930562924814,"what does it mean if your tsh is low"
673670,0.16616968416952885,0.3877292630622341,0.42510042622957694,"what is a alm"
701453,0.8279287916664022,0.9479033720677772,0.4011535323431261,"what is a statutory deed"
730539,0.7163250468132252,0.6045236143850136,0.634276914699076,"what is chronometer who invented it"
768208,0.5622262370989336,0.7717008548947396,0.5108985562879856,"what is mamey"
877809,0.5645767602634546,0.7737765051189699,0.7379162667529054,"what metal are hip replacements made of"
911232,0.4207105912676815,0.7848321918562376,0.7314077582797939,"what type of conflict does della face in o, henry the gift of the magi"
914916,0.3802283436662352,0.2976496975517791,0.2834909596458879,"what type of tissue are bronchioles"
938400,0.0,0.5430882758036705,0.8013373645704036,"when did family feud come out?"
940547,0.3628476202104143,0.4688259558351338,0.34293885357483817,"when did rock n roll begin?"
997622,0.2980272981222516,1.0,0.7969383068117231,"where is the show shameless filmed"
1030303,0.9466868507697817,0.7089081486370953,0.11573830561745935,"who is aziz hashim"
1037496,0.4374730146346952,0.9636452638863132,0.8570292438733029,"who is rep scalise?"
1043135,0.5232728111610009,0.8109179644410949,0.110298062186603,"who killed nicholas ii of russia"
1051399,0.0,0.8271181487680079,0.7373952328651661,"who sings monk theme song"
1064670,0.7178947702842047,0.6886658267637522,0.5565766760187354,"why do hunters pattern their shotguns?"
1071750,0.3608830128506654,0.6362099283634701,0.3746407275903436,"why is pete rose banned from hall of fame"
1105792,0.7192273732040296,0.6977699014599409,0.7436038355696598,"define: geon"
1106979,0.7232301395703501,0.8054881912781972,0.5455536177381705,"define pareto chart in statistics"
1108651,0.2200917662980802,0.7817681202420733,0.6493069458048248,"what the best way to get clothes white"
1109707,0.7271403410239606,0.7043701438695705,0.20179604645040086,"what medium do radio waves travel through"
1110678,0.3041271208946625,0.7284136816258097,0.4276792138858261,"what is the un fao"
1113256,0.974901496615574,1.0,0.9582341292150336,"what is reba mcentire's net worth"
1115210,0.23025089257251416,0.19223021496749412,0.33609214855431097,"what is chaff and flare"
1116380,0.03569291392133625,0.05017097502587951,0.0,"what is a nonconformity? earth science"
1121353,0.4528263483895736,0.8951295592468833,0.829650352088322,"what can you do about discrimination in the workplace in oklahoma city"
1122767,0.4888346519068059,0.6937480090283439,0.6566043080794439,"what amino produces carnitine"
1127540,0.8844720841250693,0.9233597817931648,0.5009395586224886,"meaning of shebang"
1131069,0.4692787260227566,0.9060254355346824,1.0000000000000002,"how many sons robert kraft has"
1132532,0.180911517241266,0.855479577859578,0.3173037105112553,"average annual income data analyst"
1133579,0.3609519008339534,0.49006784650192403,0.5728663051592666,"how does granulation tissue start"
1136043,0.4269692648037663,0.6816686032036532,0.2214797497298329,"difference between a hotel and motel"
1136047,0.4470930543717491,0.5834596422420435,0.394490931959444,"difference between a company's strategy and business model is"
1136962,0.7558735418167734,0.7484665528021941,1.0000000000000002,"why did the ancient egyptians call their land kemet, or black land?"
