"Query#","original","noisy-translation-pt","Text"
23849,0.5247570718868745,0.37010758038649333,"are naturalization records public information"
42255,0.9096843957527361,0.9204151257220128,"average salary for dental hygienist in nebraska"
47210,0.9499670029785342,0.9303024649941228,"average wedding dress alteration cost"
67316,0.6469095432547697,0.6469095432547697,"can fever cause miscarriage early pregnancy"
118440,0.2784805894273037,0.2784805894273037,"define bmt medical"
121171,0.45142823775811497,0.4373829360799052,"define etruscans"
135802,0.7546712320808217,0.048337668330439565,"definition of laudable"
141630,0.6184860566391047,0.6184860566391047,"describe how muscles and bones work together to produce movement"
156498,0.7203783551387115,0.7756980433459014,"do google docs auto save"
169208,0.4111460345366476,0.5743238940963854,"does mississippi have an income tax"
174463,0.5511233551711949,0.6396327754054646,"dog day afternoon meaning"
258062,0.6571027999592408,0.6692719043403362,"how long does it take to remove wisdom tooth"
324585,0.7222954974312068,0.7222954974312068,"how much money do motivational speakers make"
330975,0.6867799091233959,0.6867799091233959,"how much would it cost to install my own wind turbine"
332593,0.6749923520579926,0.6821117622893937,"how often to button quail lay eggs"
336901,0.6713860725233042,0.6713860725233042,"how old is vanessa redgrave"
390360,0.6144382440830987,0.5331235970684823,"ia suffix meaning"
405163,0.06625422345438906,0.07839826897867534,"is caffeine an narcotic"
555530,0.37080751988984534,0.3436369391452192,"what are best foods to lower cholesterol"
583468,0.9187528305403853,0.9187528305403853,"what carvedilol used for"
640502,1.0000000000000002,1.0000000000000002,"what does it mean if your tsh is low"
673670,0.38772926306223404,0.0,"what is a alm"
701453,0.9479033720677773,0.0,"what is a statutory deed"
730539,0.6045236143850138,0.0,"what is chronometer who invented it"
768208,0.7717008548947395,0.7717008548947395,"what is mamey"
877809,0.77377650511897,0.77377650511897,"what metal are hip replacements made of"
911232,0.7848321918562378,0.24825096008789121,"what type of conflict does della face in o, henry the gift of the magi"
914916,0.29764969755177917,0.27778958727461284,"what type of tissue are bronchioles"
938400,0.5430882758036706,0.3941081857771752,"when did family feud come out?"
940547,0.468825955835134,0.5184696683791957,"when did rock n roll begin?"
997622,1.0000000000000002,1.0000000000000002,"where is the show shameless filmed"
1030303,0.7089081486370953,0.6857497453969521,"who is aziz hashim"
1037496,0.9636452638863136,0.9257857076266627,"who is rep scalise?"
1043135,0.8109179644410949,0.5146942216741264,"who killed nicholas ii of russia"
1051399,0.8271181487680085,0.8433735789140115,"who sings monk theme song"
1064670,0.6886658267637523,0.6280971317444366,"why do hunters pattern their shotguns?"
1071750,0.6362099283634701,0.6343264814098842,"why is pete rose banned from hall of fame"
1105792,0.697769901459941,0.697769901459941,"define: geon"
1106979,0.8054881912781974,0.7947455185362536,"define pareto chart in statistics"
1108651,0.7817681202420735,0.7104795499083691,"what the best way to get clothes white"
1109707,0.7043701438695708,0.310752906477576,"what medium do radio waves travel through"
1110678,0.7284136816258098,0.7284136816258098,"what is the un fao"
1113256,1.0000000000000002,0.9455686993863431,"what is reba mcentire's net worth"
1115210,0.19223021496749418,0.0,"what is chaff and flare"
1116380,0.05017097502587951,0.0,"what is a nonconformity? earth science"
1121353,0.8951295592468835,0.8908925393444582,"what can you do about discrimination in the workplace in oklahoma city"
1122767,0.6937480090283441,0.6757765827540858,"what amino produces carnitine"
1127540,0.9233597817931649,0.9233597817931649,"meaning of shebang"
1131069,0.9060254355346824,0.8529278650606569,"how many sons robert kraft has"
1132532,0.8554795778595782,0.897441654236676,"average annual income data analyst"
1133579,0.4900678465019241,0.4653161933456666,"how does granulation tissue start"
1136043,0.6816686032036532,0.6816686032036532,"difference between a hotel and motel"
1136047,0.5834596422420435,0.5925427420527168,"difference between a company's strategy and business model is"
1136962,0.7484665528021942,0.8113499146016456,"why did the ancient egyptians call their land kemet, or black land?"
