"Query#","original","noisy-translation-pt","noisy-typo"
"23849","are naturalization records public information","is public information from naturalization records.","are naturalization records public infomation"
"42255","average salary for dental hygienist in nebraska","Average Salary of Dental Hygienist in Nebraska","average salery for dental hygienist in nebraska"
"47210","average wedding dress alteration cost","average cost of changing the wedding dress","average weddin dress alteration cost"
"67316","can fever cause miscarriage early pregnancy","can fever cause miscarriage in early pregnancy","can fever casue miscarriage early pregnancy"
"118440","define bmt medical","define bmt medical","deffine bmt medical"
"121171","define etruscans","define Etruscans","deffine etruscans"
"135802","definition of laudable","definition of commendable","definiton of laudable"
"141630","describe how muscles and bones work together to produce movement","describe how muscles and bones work together to produce movement","describe how muscles adn bones work together to produce movement"
"156498","do google docs auto save","Google docs automatically saves","do google docs alto save"
"169208","does mississippi have an income tax","Mississippi has income tax","does mississippi hvea an income tax"
"174463","dog day afternoon meaning","meaning of the afternoon of the dog's day","dog day afternoon meaing"
"258062","how long does it take to remove wisdom tooth","how long does it take to remove the wisdom tooth","how long doens it take to remove wisdom tooth"
"324585","how much money do motivational speakers make","how much money do motivational speakers make","how much moeny do motivational speakers make"
"330975","how much would it cost to install my own wind turbine","how much would it cost to install my own wind turbine","how much owudl it cost to install my own wind turbine"
"332593","how often to button quail lay eggs","how often to button quails lay eggs","how oftenly to button quail lay eggs"
"336901","how old is vanessa redgrave","how old is vanessa redgrave","how old is Vanesa redgrave"
"390360","ia suffix meaning","suffix meaning ia","ia suffix meaing"
"405163","is caffeine an narcotic","caffeine is a narcotic","is caffein an narcotic"
"555530","what are best foods to lower cholesterol","what are the best foods to lower cholesterol","whta are best foods to lower cholesterol"
"583468","what carvedilol used for","what carvedilol is used for","whta carvedilol used for"
"640502","what does it mean if your tsh is low","what does it mean if your tsh is low","what doens it mean if your tsh is low"
"673670","what is a alm","what is a soul","waht is a alm"
"701453","what is a statutory deed","what is a legal deed","whta is a statutory deed"
"730539","what is chronometer who invented it","what is the timer that invented it","waht is chronometer who invented it"
"768208","what is mamey","what is mamey","whta is mamey"
"877809","what metal are hip replacements made of","what metal are hip replacements made of","whta metal are hip replacements made of"
"911232","what type of conflict does della face in o, henry the gift of the magi","what kind of conflict does her face in or, Henry, the gift of wizards","what type of conflict does della face in o, henry teh gift of the magi"
"914916","what type of tissue are bronchioles","what kind of tissue are bronchioles","waht type of tissue are bronchioles"
"938400","when did family feud come out?","when did the family feud arise?","wehn did family feud come out?"
"940547","when did rock n roll begin?","when did rock n roll start?","wehn did rock n roll begin?"
"997622","where is the show shameless filmed","where the shameless show is filmed","where is hten show shameless filmed"
"1030303","who is aziz hashim","who is azi hashim","whom is aziz hashim"
"1037496","who is rep scalise?","who is scalise rep?","who is rep scaliz?"
"1043135","who killed nicholas ii of russia","who killed nicolau from russia","who killd nicholas ii of russia"
"1051399","who sings monk theme song","who sings the monk's theme song","who sings mank theme song"
"1064670","why do hunters pattern their shotguns?","why do hunters standardize their shotguns?","why do hunters pattern ther shotguns?"
"1071750","why is pete rose banned from hall of fame","Why Pete Rose was banned from the Hall of Fame","why is pete rised banned from hall of fame"
"1105792","define: geon","define: geon","deffine: geon"
"1106979","define pareto chart in statistics","set Pareto chart in statistics","deffine pareto chart in statistics"
"1108651","what the best way to get clothes white","what is the best way to get white clothes","waht the best way to get clothes white"
"1109707","what medium do radio waves travel through","how do radio waves travel","what medium do radio waves travel throught"
"1110678","what is the un fao","what is the un fao","what is tjhe un fao"
"1113256","what is reba mcentire's net worth","what is reba mcentire's equity","whta is reba mcentire's net worth"
"1115210","what is chaff and flare","what is straw and flame","whta is chaff and flare"
"1116380","what is a nonconformity? earth science","what is a non-compliance? earth science","what is a nonconformity? earth scinece"
"1121353","what can you do about discrimination in the workplace in oklahoma city","What You Can Do About Workplace Discrimination In Oklahoma City","what can you do boaut discrimination in the workplace in oklahoma city"
"1122767","what amino produces carnitine","which amino produces carnitine","waht amino produces carnitine"
"1127540","meaning of shebang","meaning of shebang","meaing of shebang"
"1131069","how many sons robert kraft has","how many children robert kraft has","how many sons robert kraft have"
"1132532","average annual income data analyst","Average Annual Income Data Analyst","average anual income data analyst"
"1133579","how does granulation tissue start","how granulation tissue starts","how does granulation tissue strat"
"1136043","difference between a hotel and motel","difference between a hotel and motel","difference betwen a hotel and motel"
"1136047","difference between a company's strategy and business model is","difference between a company's strategy and the business model is","difference between a company's strategy and busness model is"
"1136962","why did the ancient egyptians call their land kemet, or black land?","why did the ancient Egyptians call their land kemet, or black land?","why did thge ancient egyptians call their land kemet, or black land?"
