cod_original_query;cod_noise_kind;text
23849;0;are naturalization records public information
42255;0;average salary for dental hygienist in nebraska
47210;0;average wedding dress alteration cost
67316;0;can fever cause miscarriage early pregnancy
118440;0;define bmt medical
121171;0;define etruscans
135802;0;definition of laudable
141630;0;describe how muscles and bones work together to produce movement
156498;0;do google docs auto save
169208;0;does mississippi have an income tax
174463;0;dog day afternoon meaning
258062;0;how long does it take to remove wisdom tooth
324585;0;how much money do motivational speakers make
330975;0;how much would it cost to install my own wind turbine
332593;0;how often to button quail lay eggs
336901;0;how old is vanessa redgrave
390360;0;ia suffix meaning
405163;0;is caffeine an narcotic
555530;0;what are best foods to lower cholesterol
583468;0;what carvedilol used for
640502;0;what does it mean if your tsh is low
673670;0;what is a alm
701453;0;what is a statutory deed
730539;0;what is chronometer who invented it
768208;0;what is mamey
877809;0;what metal are hip replacements made of
911232;0;what type of conflict does della face in o,  henry the gift of the magi
914916;0;what type of tissue are bronchioles
938400;0;when did family feud come out?
940547;0;when did rock n roll begin?
997622;0;where is the show shameless filmed
1030303;0;who is aziz hashim
1037496;0;who is rep scalise?
1043135;0;who killed nicholas ii of russia
1051399;0;who sings monk theme song
1064670;0;why do hunters pattern their shotguns?
1071750;0;why is pete rose banned from hall of fame
1105792;0;define: geon
1106979;0;define pareto chart in statistics
1108651;0;what the best way to get clothes white
1109707;0;what medium do radio waves travel through
1110678;0;what is the un fao
1113256;0;what is reba mcentire's net worth
1115210;0;what is chaff and flare
1116380;0;what is a nonconformity? earth science
1121353;0;what can you do about discrimination in the workplace in oklahoma city
1122767;0;what amino produces carnitine
1127540;0;meaning of shebang
1131069;0;how many sons robert kraft has
1132532;0;average annual income data analyst
1133579;0;how does granulation tissue start
1136043;0;difference between a hotel and motel
1136047;0;difference between a company's strategy and business model is
1136962;0;why did the ancient egyptians call their land kemet, or black land?
