cod;id_original_query;cod_noise_kind;text
1;23849;;are naturalization records public information
2;42255;;average salary for dental hygienist in nebraska
3;47210;;average wedding dress alteration cost
4;67316;;can fever cause miscarriage early pregnancy
5;118440;;define bmt medical
6;121171;;define etruscans
7;135802;;definition of laudable
8;141630;;describe how muscles and bones work together to produce movement
9;156498;;do google docs auto save
10;169208;;does mississippi have an income tax
11;174463;;dog day afternoon meaning
12;258062;;how long does it take to remove wisdom tooth
13;324585;;how much money do motivational speakers make
14;330975;;how much would it cost to install my own wind turbine
15;332593;;how often to button quail lay eggs
16;336901;;how old is vanessa redgrave
17;390360;;ia suffix meaning
18;405163;;is caffeine an narcotic
19;555530;;what are best foods to lower cholesterol
20;583468;;what carvedilol used for
21;640502;;what does it mean if your tsh is low
22;673670;;what is a alm
23;701453;;what is a statutory deed
24;730539;;what is chronometer who invented it
25;768208;;what is mamey
26;877809;;what metal are hip replacements made of
27;911232;;what type of conflict does della face in o,  henry the gift of the magi
28;914916;;what type of tissue are bronchioles
29;938400;;when did family feud come out?
30;940547;;when did rock n roll begin?
31;997622;;where is the show shameless filmed
32;1030303;;who is aziz hashim
33;1037496;;who is rep scalise?
34;1043135;;who killed nicholas ii of russia
35;1051399;;who sings monk theme song
36;1064670;;why do hunters pattern their shotguns?
37;1071750;;why is pete rose banned from hall of fame
38;1105792;;define: geon
39;1106979;;define pareto chart in statistics
40;1108651;;what the best way to get clothes white
41;1109707;;what medium do radio waves travel through
42;1110678;;what is the un fao
43;1113256;;what is reba mcentire's net worth
44;1115210;;what is chaff and flare
45;1116380;;what is a nonconformity? earth science
46;1121353;;what can you do about discrimination in the workplace in oklahoma city
47;1122767;;what amino produces carnitine
48;1127540;;meaning of shebang
49;1131069;;how many sons robert kraft has
50;1132532;;average annual income data analyst
51;1133579;;how does granulation tissue start
52;1136043;;difference between a hotel and motel
53;1136047;;difference between a company's strategy and business model is
54;1136962;;why did the ancient egyptians call their land kemet, or black land?
