query, ndcg@10
23849, 0.5247570718868744
42255, 0.9096843957527359
47210, 0.949967002978534
67316, 0.6469095432547695
118440, 0.2784805894273036
121171, 0.45142823775811486
135802, 0.7546712320808214
141630, 0.6184860566391046
156498, 0.7203783551387114
169208, 0.41114603453664766
174463, 0.5511233551711947
258062, 0.6571027999592406
324585, 0.7222954974312066
330975, 0.6867799091233957
332593, 0.6749923520579925
336901, 0.6713860725233042
390360, 0.6144382440830987
405163, 0.06625422345438903
555530, 0.3708075198898453
583468, 0.918752830540385
640502, 1.0
673670, 0.38772926306223404
701453, 0.9479033720677773
730539, 0.6045236143850136
768208, 0.7717008548947396
877809, 0.7737765051189699
911232, 0.7848321918562376
914916, 0.2976496975517791
938400, 0.5430882758036705
940547, 0.46882595583513387
997622, 1.0
1030303, 0.7089081486370953
1037496, 0.9636452638863133
1043135, 0.8109179644410949
1051399, 0.827118148768008
1064670, 0.6886658267637522
1071750, 0.6362099283634701
1105792, 0.6977699014599409
1106979, 0.8054881912781972
1108651, 0.7817681202420733
1109707, 0.7043701438695705
1110678, 0.7284136816258097
1113256, 1.0
1115210, 0.19223021496749415
1116380, 0.05017097502587951
1121353, 0.8951295592468833
1122767, 0.6937480090283439
1127540, 0.9233597817931648
1131069, 0.9060254355346824
1132532, 0.855479577859578
1133579, 0.490067846501924
1136043, 0.6816686032036532
1136047, 0.5834596422420435
1136962, 0.7484665528021941
